time,P_turbine_1,P_total,E_total
2231.3375670213186,0.01707241824688728,0.01707241824688728,60.460017288161275
2231.6877455472163,0.017017365577463736,0.017017365577463736,60.46598604328516
2232.037924073114,0.016962403797288868,0.016962403797288868,60.47193553606016
2232.3881025990117,0.016907533045672222,0.016907533045672222,60.477865798338115
2232.7382811249095,0.016852753460773848,0.016852753460773848,60.48377686201947
2233.088459650807,0.01679806517958935,0.01679806517958935,60.48966875905283
2233.438638176705,0.016743468337942477,0.016743468337942477,60.49554152143459
2233.7888167026026,0.016688963070476386,0.016688963070476386,60.50139518120848
2234.1389952285003,0.01663454951064655,0.01663454951064655,60.50722977046517
2234.489173754398,0.01658022779071908,0.01658022779071908,60.51304532134188
2234.8393522802958,0.01652599804177056,0.01652599804177056,60.51884186602191
2235.1895308061935,0.016471860393692056,0.016471860393692056,60.52461943673426
2235.539709332091,0.0164178149751961,0.0164178149751961,60.530378065753226
2235.889887857989,0.016363861913824312,0.016363861913824312,60.536117785397956
2236.2400663838866,0.016310001335964653,0.016310001335964653,60.54183862803205
2236.5902449097844,0.016256233366867226,0.016256233366867226,60.54754062606319
2236.940423435682,0.016202558130654,0.016202558130654,60.5532238119427
2237.29060196158,0.01614897575034106,0.01614897575034106,60.55888821816519
2237.6407804874775,0.016095486347854557,0.016095486347854557,60.56453387726814
2237.9909590133752,0.016042090044052916,0.016042090044052916,60.570160821831564
2238.341137539273,0.015988786958744446,0.015988786958744446,60.57576908447759
2238.6913160651707,0.01593557721070692,0.01593557721070692,60.58135869787013
2239.0414945910684,0.015882460917706752,0.015882460917706752,60.58692969471451
2239.391673116966,0.01582943819651668,0.01582943819651668,60.59248210775713
2239.741851642864,0.01577650916292763,0.01577650916292763,60.598015969785095
2240.0920301687615,0.01572367393176516,0.01572367393176516,60.6035313136259
2240.4422086946593,0.015670932616897986,0.015670932616897986,60.60902817214708
2240.792387220557,0.01561828533125248,0.01561828533125248,60.61450657825586
2241.1425657464547,0.015565732186806285,0.015565732186806285,60.61996656489888
2241.4927442723524,0.015513273294601603,0.015513273294601603,60.625408165061806
2241.84292279825,0.015460908764738835,0.015460908764738835,60.63083141176902
2242.193101324148,0.015408638706379173,0.015408638706379173,60.63623633808331
2242.5432798500456,0.01535646322773977,0.01535646322773977,60.6416229771055
2242.8934583759433,0.015304382436081534,0.015304382436081534,60.646991361974166
2243.243636901841,0.015252396437702258,0.015252396437702258,60.65234152586527
2243.5938154277387,0.015200505337921114,0.015200505337921114,60.657673501991816
2243.9439939536364,0.015148709241071765,0.015148709241071765,60.66298732360353
2244.294172479534,0.01509700825048382,0.01509700825048382,60.66828302398649
2244.644351005432,0.01504540246846145,0.01504540246846145,60.673560636462774
2244.9945295313296,0.014993891996279428,0.014993891996279428,60.67882019439011
2245.3447080572273,0.014942476934163106,0.014942476934163106,60.684061731161506
2245.694886583125,0.014891157381270401,0.014891157381270401,60.68928528020488
2246.0450651090227,0.014839933435681282,0.014839933435681282,60.694490874982684
2246.3952436349205,0.014788805194384405,0.014788805194384405,60.69967854899153
2246.745422160818,0.01473777275325916,0.01473777275325916,60.70484833576178
2247.095600686716,0.014686836207079425,0.014686836207079425,60.71000026885721
2247.4457792126136,0.014635995649493982,0.014635995649493982,60.71513438187455
2247.7959577385113,0.014585251173028564,0.014585251173028564,60.72025070844315
2248.146136264409,0.014534602869076754,0.014534602869076754,60.72534928222456
2248.4963147903068,0.014484050827908695,0.014484050827908695,60.73043013691213
2248.8464933162045,0.0144335951386643,0.0144335951386643,60.73549330623064
2249.196671842102,0.014383235889363306,0.014383235889363306,60.74053882393586
2249.546850368,0.014332973166913045,0.014332973166913045,60.74556672381421
2249.8970288938976,0.014282807057117236,0.014282807057117236,60.75057703968234
2250.2472074197954,0.014232737644683155,0.014232737644683155,60.75556980538676
2250.597385945693,0.014182765013235722,0.014182765013235722,60.76054505480346
2250.947564471591,0.014132889245330923,0.014132889245330923,60.76550282183751
2251.2977429974885,0.014083110422480298,0.014083110422480298,60.770443140422714
2251.6479215233862,0.01403342862515684,0.01403342862515684,60.775366044521235
2251.998100049284,0.013983843932811144,0.013983843932811144,60.78027156812325
2252.3482785751817,0.013934356423889896,0.013934356423889896,60.78515974524656
2252.6984571010794,0.013884966175849984,0.013884966175849984,60.79003060993629
2253.048635626977,0.01383567326517307,0.01383567326517307,60.79488419626449
2253.398814152875,0.013786477767378066,0.013786477767378066,60.799720538329844
2253.7489926787725,0.013737379757033335,0.013737379757033335,60.8045396702573
2254.0991712046703,0.013688379307766518,0.013688379307766518,60.80934162619777
2254.449349730568,0.013639476492269834,0.013639476492269834,60.81412644032777
2254.7995282564657,0.013590671382312014,0.013590671382312014,60.81889414684912
2255.1497067823634,0.013541964048734995,0.013541964048734995,60.8236447799886
2255.499885308261,0.013493354561461168,0.013493354561461168,60.828378373997644
2255.850063834159,0.013444842989488068,0.013444842989488068,60.833094963152014
2256.2002423600566,0.013396429400887679,0.013396429400887679,60.83779458175145
2256.5504208859543,0.013348113862801875,0.013348113862801875,60.842477264119395
2256.900599411852,0.01329989644143292,0.01329989644143292,60.84714304460262
2257.2507779377497,0.013251777202033941,0.013251777202033941,60.85179195757091
2257.6009564636474,0.013203756208907833,0.013203756208907833,60.85642403741675
2257.951134989545,0.013155833525387971,0.013155833525387971,60.861039318554965
2258.301313515443,0.013108009213830183,0.013108009213830183,60.86563783542238
2258.6514920413406,0.013060283335595786,0.013060283335595786,60.87021962247749
2259.0016705672383,0.013012655951048956,0.013012655951048956,60.8747847142001
2259.351849093136,0.012965127119539465,0.012965127119539465,60.879333145090975
2259.7020276190337,0.012917696899392636,0.012917696899392636,60.883864949671484
2260.0522061449315,0.012870365347896201,0.012870365347896201,60.88838016248324
2260.402384670829,0.012823132521299095,0.012823132521299095,60.89287881808773
2260.752563196727,0.012775998474798303,0.012775998474798303,60.89736095106597
2261.1027417226246,0.012728963262532478,0.012728963262532478,60.9018265960181
2261.4529202485223,0.012682026937578932,0.012682026937578932,60.90627578756303
2261.80309877442,0.012635189551952778,0.012635189551952778,60.9107085603381
2262.1532773003178,0.01258845115660868,0.01258845115660868,60.91512494899865
2262.5034558262155,0.012541811801441751,0.012541811801441751,60.91952498821769
2262.853634352113,0.012495271535290692,0.012495271535290692,60.9239087126855
2263.203812878011,0.012448830405944689,0.012448830405944689,60.928276157109316
2263.5539914039086,0.01240248846015105,0.01240248846015105,60.93262735621289
2263.9041699298064,0.012356245743623347,0.012356245743623347,60.93696234473617
2264.254348455704,0.012310102301056796,0.012310102301056796,60.94128115743496
2264.604526981602,0.012264058176134643,0.012264058176134643,60.9455838290805
2264.9547055074995,0.012218113411545873,0.012218113411545873,60.949870394459175
2265.3048840333972,0.012172268048994251,0.012172268048994251,60.954140888372145
2265.655062559295,0.012126522129213082,0.012126522129213082,60.958395345635
2266.0052410851927,0.012080875691981841,0.012080875691981841,60.96263380107742
2266.3554196110904,0.012035328776136008,0.012035328776136008,60.96685628954287
2266.705598136988,0.011989881419584653,0.011989881419584653,60.97106284588823
2267.055776662886,0.011944533659313816,0.011944533659313816,60.975253504983506
2267.4059551887835,0.011899285531399975,0.011899285531399975,60.97942830171149
2267.7561337146813,0.011854137071022485,0.011854137071022485,60.98358727096746
2268.106312240579,0.011809088312468782,0.011809088312468782,60.98773044765885
2268.4564907664767,0.011764139289138342,0.011764139289138342,60.99185786670494
2268.8066692923744,0.011719290033551594,0.011719290033551594,60.99596956303656
2269.156847818272,0.011674540577345115,0.011674540577345115,61.00006557159577
2269.50702634417,0.01162989095127522,0.01162989095127522,61.00414592733556
2269.8572048700676,0.011585341185213628,0.011585341185213628,61.00821066521952
2270.2073833959653,0.01154089130814879,0.01154089130814879,61.012259820221566
2270.557561921863,0.011496541348177344,0.011496541348177344,61.01629342732559
2270.9077404477607,0.011452291332499084,0.011452291332499084,61.02031152152519
2271.2579189736584,0.011408141287409055,0.011408141287409055,61.024314137823296
2271.608097499556,0.01136409123828684,0.01136409123828684,61.02830131123192
2271.958276025454,0.011320141209588708,0.011320141209588708,61.03227307677178
2272.3084545513516,0.01127629122484021,0.01127629122484021,61.036229469472
2272.6586330772493,0.011232541306621048,0.011232541306621048,61.04017052436977
2273.008811603147,0.011188891476561349,0.011188891476561349,61.04409627651003
